,Node_1,Node_2
188,ENSG00000008405,CRY1
189,ENSG00000008438,PGLYRP1
190,ENSG00000008441,NFIX
191,ENSG00000008513,ST3GAL1
192,ENSG00000008516,MMP25
193,ENSG00000008517,IL32
194,ENSG00000008710,PKD1
195,ENSG00000008735,MAPK8IP2
196,ENSG00000008838,MED24
197,ENSG00000008853,RHOBTB2
198,ENSG00000008869,HEATR5B
199,ENSG00000008952,SEC62
200,ENSG00000008988,RPS20
201,ENSG00000009307,CSDE1
202,ENSG00000009335,UBE3C
203,ENSG00000009413,REV3L
204,ENSG00000009694,TENM1
205,ENSG00000009724,MASP2
206,ENSG00000009780,FAM76A
207,ENSG00000009790,TRAF3IP3
208,ENSG00000009830,POMT2
209,ENSG00000009844,VTA1
210,ENSG00000009950,MLXIPL
211,ENSG00000009954,BAZ1B
212,ENSG00000010017,RANBP9
213,ENSG00000010030,ETV7
214,ENSG00000010072,SPRTN
215,ENSG00000010165,METTL13
216,ENSG00000010219,DYRK4
217,ENSG00000010244,ZNF207
218,ENSG00000010256,UQCRC1
219,ENSG00000010270,STARD3NL
220,ENSG00000010278,CD9
221,ENSG00000010292,NCAPD2
222,ENSG00000010295,IFFO1
223,ENSG00000010310,GIPR
224,ENSG00000010318,PHF7
225,ENSG00000010319,SEMA3G
226,ENSG00000010322,NISCH
227,ENSG00000010327,STAB1
228,ENSG00000010361,FUZ
229,ENSG00000010379,SLC6A13
230,ENSG00000010404,IDS
231,ENSG00000010539,ZNF200
232,ENSG00000010610,CD4
233,ENSG00000010626,LRRC23
234,ENSG00000010671,BTK
235,ENSG00000010704,HFE
236,ENSG00000010803,SCMH1
237,ENSG00000010810,FYN
238,ENSG00000010818,HIVEP2
239,ENSG00000011007,TCEB3
240,ENSG00000011009,LYPLA2
241,ENSG00000011021,CLCN6
242,ENSG00000011028,MRC2
243,ENSG00000011105,TSPAN9
244,ENSG00000011114,BTBD7
245,ENSG00000011132,APBA3
246,ENSG00000011143,MKS1
247,ENSG00000011198,ABHD5
248,ENSG00000011201,KAL1
249,ENSG00000011243,AKAP8L
250,ENSG00000011258,MBTD1
251,ENSG00000011260,UTP18
252,ENSG00000011275,RNF216
253,ENSG00000011295,TTC19
254,ENSG00000011304,PTBP1
255,ENSG00000011332,DPF1
256,ENSG00000011376,LARS2
257,ENSG00000011405,PIK3C2A
258,ENSG00000011422,PLAUR
259,ENSG00000011426,ANLN
260,ENSG00000011451,WIZ
261,ENSG00000011454,RABGAP1
262,ENSG00000011465,DCN
263,ENSG00000011478,QPCTL
264,ENSG00000011485,PPP5C
265,ENSG00000011523,CEP68
266,ENSG00000011566,MAP4K3
267,ENSG00000011590,ZBTB32
268,ENSG00000011600,TYROBP
269,ENSG00000011638,TMEM159
270,ENSG00000012048,BRCA1
271,ENSG00000012061,ERCC1
272,ENSG00000012124,CD22
273,ENSG00000012171,SEMA3B
274,ENSG00000012174,MBTPS2
275,ENSG00000012211,PRICKLE3
276,ENSG00000012223,LTF
277,ENSG00000012232,EXTL3
278,ENSG00000012660,ELOVL5
279,ENSG00000012779,ALOX5
280,ENSG00000012817,KDM5D
281,ENSG00000012822,CALCOCO1
282,ENSG00000012963,UBR7
283,ENSG00000012983,MAP4K5
284,ENSG00000013016,EHD3
285,ENSG00000013275,PSMC4
286,ENSG00000013288,MAN2B2
287,ENSG00000013306,SLC25A39
288,ENSG00000013364,MVP
289,ENSG00000013374,NUB1
290,ENSG00000013375,PGM3
291,ENSG00000013392,RWDD2A
292,ENSG00000013441,CLK1
293,ENSG00000013503,POLR3B
294,ENSG00000013523,ANGEL1
295,ENSG00000013561,RNF14
296,ENSG00000013563,DNASE1L1
297,ENSG00000013573,DDX11
298,ENSG00000013583,HEBP1
299,ENSG00000013588,GPRC5A
300,ENSG00000013619,MAMLD1
301,ENSG00000013725,CD6
302,ENSG00000013810,TACC3
303,ENSG00000014123,UFL1
304,ENSG00000014138,POLA2
305,ENSG00000014164,ZC3H3
306,ENSG00000014216,CAPN1
307,ENSG00000014257,ACPP
308,ENSG00000014641,MDH1
309,ENSG00000014824,SLC30A9
310,ENSG00000014914,MTMR11
311,ENSG00000014919,COX15
312,ENSG00000015133,CCDC88C
313,ENSG00000015153,YAF2
314,ENSG00000015171,ZMYND11
315,ENSG00000015285,WAS
316,ENSG00000015413,DPEP1
317,ENSG00000015475,BID
318,ENSG00000015479,MATR3
319,ENSG00000015520,NPC1L1
320,ENSG00000015532,XYLT2
321,ENSG00000015568,RGPD5
322,ENSG00000015676,NUDCD3
323,ENSG00000016391,CHDH
324,ENSG00000016864,GLT8D1
325,ENSG00000017260,ATP2C1
326,ENSG00000017373,SRCIN1
327,ENSG00000017427,IGF1
328,ENSG00000017483,SLC38A5
329,ENSG00000017621,MAGIX
330,ENSG00000017797,RALBP1
331,ENSG00000018189,RUFY3
332,ENSG00000018236,CNTN1
333,ENSG00000018280,SLC11A1
