Gene,Var,Mean
WASH7P,0.1960189677872713,1.3231677311928538
RP11-34P13.7,0.06724305990704232,0.17038172252451395
CICP27,0.26789550960255176,0.561594552669013
RP11-34P13.15,2.867360361557707,4.100214423738017
RP11-34P13.16,2.854526239749154,4.498991606941545
RP11-34P13.14,1.0978165590595568,1.6763057969276867
RP11-34P13.13,0.047742934683152244,0.25873447911960457
ABC7-43046700E7.1,0.08999405707356473,0.26307851944240274
RP11-34P13.18,0.20002202904666858,1.7746424667208613
AP006222.2,0.2998103620871568,0.6209901724430156
RP4-669L17.8,0.1823112343400834,0.34351024827931115
MTND1P23,2.2984962201492976,1.8617529691560364
MTND2P28,0.9141125653185251,4.238892333404603
MTCO1P12,1.0748555088603606,2.7615601854937037
MTCO2P12,0.53881929939373,1.821347776352363
MTATP8P1,0.6165069679502433,1.496208840215907
MTATP6P1,0.6474998631415613,6.33305591035654
MTCO3P12,0.7055819248142629,1.9332559273784042
RP11-206L10.2,0.20498078595819888,1.150582025439271
RP11-206L10.9,0.07666940509678934,0.24286040202899115
RP11-206L10.8,0.14783729735335138,0.5769083568335373
LINC01128,0.20257121651076504,0.827046352445587
LINC00115,0.2700833292016907,1.0273814211976509
NOC2L,0.7913866550695925,3.1099751168775716
KLHL17,0.5143903277603338,1.8020216808059604
PLEKHN1,0.1329702095627061,0.5650323824864989
PERM1,0.12206343891714048,0.2716956465767802
RP11-54O7.17,0.0792167452800934,0.21839672959035517
HES4,0.9545609008297675,1.2573941778929782
ISG15,2.0820569908567577,4.043285443109657
AGRN,1.9803275806226563,1.2073752300359415
RP11-465B22.3,0.8686311065911739,0.7514085244771453
RP11-54O7.18,0.4742451028719968,0.3761419659309694
C1orf159,0.3239410074119907,1.502148195643031
TNFRSF18,0.9987241611673768,2.182775547950202
TNFRSF4,0.8813671045183418,2.0346043815982133
SDF4,0.2900208593349001,4.179542841615938
B3GALT6,0.4770798391878646,1.8051484094132857
C1QTNF12,0.12879839850354244,0.7112589304876668
RP5-902P8.12,0.05061334147876705,0.3323417784297651
UBE2J2,0.4013860642577328,2.7936169351606797
LINC01786,0.15254452323773038,0.5861116404228857
SCNN1D,0.21966451141399132,0.9456068236385797
ACAP3,0.29303939583719313,2.907265250859599
PUSL1,0.3491594878060657,2.2675786022474225
INTS11,0.3221339500597067,3.199808535541865
RP5-890O3.9,0.4221596606393078,1.5997460089420992
CPTP,0.41423171555275184,2.6451661043981196
TAS1R3,0.09734857566394746,0.695579454479488
DVL1,0.3910795235355748,2.5699574153292675
MXRA8,0.15493912354295966,0.7323602068031119
AURKAIP1,0.3639611380094581,4.192056390424768
CCNL2,0.38716396186148555,3.62343997285262
RP4-758J18.2,0.5121534551081711,2.2234352809519864
MRPL20,0.5604491860881936,3.399955390904017
RP4-758J18.13,0.5551504028364767,1.0358122004741483
VWA1,0.20763125026219276,0.3185186085763207
ATAD3C,0.05822446839377934,0.23966835317663202
ATAD3B,0.6045590286317868,2.446235003151353
ATAD3A,0.7257157962835649,2.1165885090782477
TMEM240,0.10286116039779325,0.38698271880854723
SSU72,0.30933139162863266,3.5568745926979735
RP5-832C2.5,0.09029902541910592,0.3257267913486188
FNDC10,0.1888013818908521,1.1060115398655919
RP11-345P4.9,0.21658507445421057,1.3723044147293477
MIB2,0.326643360858907,2.668507505473286
MMP23B,0.13197714661929455,0.3083261614397903
CDK11B,0.2589890361949755,2.989436152545972
SLC35E2B,0.45867843253504226,2.7904296261176147
RP11-345P4.6,0.367557517407469,1.0154299466559495
MMP23A,0.273225717826753,0.5265546478082255
CDK11A,0.28098963630000573,2.702408957234542
RP1-283E3.4,0.46509118793290544,1.5483746510021856
SLC35E2,0.259149636509584,1.139375566524056
NADK,0.575530376645309,4.5228881351488335
GNB1,0.27538921442129627,5.063929524453859
RP1-140A9.1,0.04257341239054669,0.29054274341169245
CALML6,0.07440688163040991,0.25666728120108323
PRKCZ,0.3326855185591317,1.184968272916006
RP5-892K4.1,0.050074002981183786,0.21314880990476434
PRKCZ-AS1,0.6225085633002184,1.4054722193785558
FAAP20,0.21521938339561378,1.92876782047334
SKI,0.41498047550852046,2.4898262792596655
MORN1,0.07608401386663409,0.32284935079902893
RP4-740C4.5,0.07183638746070424,0.39494074925582423
RP4-740C4.7,0.07377469444466378,0.30593279822561326
RER1,0.4914483516441093,3.476580602160042
PEX10,0.5456098252275707,1.4290947032627308
PLCH2,0.7012695777187079,1.4439511409109145
PANK4,0.28739197159477925,2.5217149036165645
RP3-395M20.12,0.276791332336076,2.1267105758580644
RP3-395M20.8,0.5472026112492417,1.6471531340708936
TNFRSF14,0.40425517325129756,4.643968760927967
RP3-395M20.7,0.21947789130221335,0.5067895721774206
RP3-395M20.9,0.757343966407418,1.1853379944283364
FAM213B,0.4868077967924345,2.137139040541441
MEGF6,0.7429037256592322,1.7750459534676402
RP11-46F15.2,0.3109840721242324,0.9227038063100286
TPRG1L,0.2565282300544178,3.663650200692305
WRAP73,0.4468611521573607,2.9178056876887966
TP73,1.152625940459731,0.6494735822644436
RP5-1092A11.5,0.0739604773113458,0.17318667309598962
TP73-AS1,0.4902525634907718,1.419760731578396
SMIM1,1.4181838865861405,2.481247006288137
LRRC47,0.5268118199226737,2.2575460705857093
RN7SL574P,0.05955723717570669,0.24730671716992625
RP1-286D6.5,0.2478654327779227,0.9450839552959438
CEP104,0.375224021257384,1.5329009046726745
DFFB,0.3371838663229485,1.3194710158459309
C1orf174,0.556508829998575,2.3851366553195725
LINC01134,0.04503718624072711,0.25538532421819227
